title,company,location,description,job_url,source,search_query,role_category,scraped_at,salary,duration,Salary
Machine Learning Intern,CapeStart,Nagercoil,,https://www.naukri.com/job-listings-machine-learning-intern-capestart-software-private-limited-nagercoil-0-to-2-years-231225503264,naukri,machine learning intern,ai_ml,2026-03-10 16:34:40.241656+00:00,Unpaid,No fixed duration,Unpaid
Open Knowledge Internship Program,A Leading Research University Project,Remote,,https://www.naukri.com/job-listings-open-knowledge-internship-program-starpowerz-human-resources-hyderabad-0-to-1-years-030326023794,naukri,machine learning intern,ai_ml,2026-03-10 16:34:46.332733+00:00,"6,000/month",2 months duration,"6,000/month"
Internship Trainee,Anika Industries,Mumbai (All Areas),,https://www.naukri.com/job-listings-internship-trainee-anika-industries-mumbai-all-areas-0-to-1-years-060326029483,naukri,machine learning intern,ai_ml,2026-03-10 16:34:51.932651+00:00,"15,000/month",3 months duration,"15,000/month"
